"","Easting","Northing"
"1",-100.275868037794,35.9030033484188
"2",-100.275358623215,35.9027464125944
"3",-100.275288035584,35.9027669961834
"4",-100.275220097596,35.9028145977518
"5",-100.275164187403,35.902852154621
"6",-100.275290829919,35.9028030280524
"7",-100.275296644242,35.9028200955328
"8",-100.275085416046,35.9029151973224
"9",-100.275031793832,35.9029572375272
"10",-100.274935122236,35.9030096517475
"11",-100.274869240599,35.9030473143589
"12",-100.274838980092,35.9030259987209
"13",-100.274769673468,35.9030573868716
"14",-100.274766523233,35.9030682387815
"15",-100.274694263441,35.9030536797674
"16",-100.274694263441,35.9030536797674
"17",-100.274550538953,35.9030741377986
"18",-100.274562465753,35.9030577834981
"19",-100.274569903097,35.9030378706977
"20",-100.274575848365,35.9032704045778
"21",-100.274546840308,35.9032580909591
"22",-100.274448939439,35.9032338870494
"23",-100.275868037794,35.9030033484188
"24",-100.275548021832,35.9024649237208
"25",-100.275519288776,35.9024697366483
"26",-100.275374943632,35.9024514360841
"27",-100.275331683497,35.9021724185604
"28",-100.275329895827,35.9021300652252
"29",-100.275194391232,35.9021792859473
"30",-100.276401979203,35.9036143259327
"31",-100.27640241349,35.9036413674696
"32",-100.276371872689,35.9036520417903
"33",-100.276372306966,35.9036790833273
"34",-100.277416772676,35.9025658631971
"35",-100.275868037794,35.9030033484188
"36",-100.275868037794,35.9030033484188
"37",-100.275868037794,35.9030033484188
"38",-100.275868037794,35.9030033484188
"39",-100.275868037794,35.9030033484188
"40",-100.275868037794,35.9030033484188
"41",-100.275868037794,35.9030033484188
"42",-100.275868037794,35.9030033484188
"43",-100.275868037794,35.9030033484188
"44",-100.275868037794,35.9030033484188
"45",-100.199339623503,35.445259574354
"46",-100.17686781596,35.4446810111949
"47",-100.176717994051,35.4446824716999
"48",-100.176668420622,35.4446829549142
"49",-100.176518598698,35.4446844151718
"50",-100.176467923633,35.4446849090404
"51",-100.176318101694,35.4446863690492
"52",-100.176268528256,35.4446868520994
"53",-100.176118706303,35.4446883118609
"54",-100.17606913286,35.4446887948293
"55",-100.175919310893,35.4446902543434
"56",-100.175868635813,35.4446907479605
"57",-100.175718813831,35.4446922072259
"58",-100.175669240379,35.4446926900301
"59",-100.175519418383,35.4446941490481
"60",-100.175509503692,35.4446942455942
"61",-100.199339623503,35.445259574354
"62",-99.9255834431269,35.7670913719885
"63",-99.9255834431269,35.7670913719885
"64",-99.9255827802657,35.7670341620704
"65",-99.925582117302,35.7669769431367
"66",-99.9255814544445,35.7669197332176
"67",-99.925580791589,35.7668625232978
"68",-99.9255801286308,35.7668053043624
"69",-99.925579465779,35.7667480944416
"70",-99.9259163738648,35.7657508468614
"71",-99.9259159002304,35.7657099813411
"72",-99.925915426597,35.7656691158205
"73",-99.9259149529646,35.7656282502997
"74",-99.9259144793331,35.7655873847786
"75",-99.9259140057026,35.7655465192572
"76",-99.9259135319685,35.7655056447204
"77",-99.9259130583399,35.7654647791984
"78",-99.9259125847122,35.7654239136761
"79",-99.9255031037087,35.7652175804896
"80",-99.9255021568823,35.7651358494319
"81",-99.9255012100597,35.7650541183731
"82",-99.9255002631364,35.7649723782981
"83",-99.9254993163215,35.7648906472371
"84",-99.9254983695103,35.7648089161749
"85",-99.9254974227029,35.7647271851116
"86",-99.9254964758994,35.7646454540471
"87",-99.9254955290996,35.7645637229815
"88",-99.9254945821993,35.7644819828997
"89",-99.9254936354072,35.7644002518318
"90",-99.8172062135662,35.7943502360597
"91",-99.8171859908723,35.7943206208372
"92",-99.8171495575251,35.7943289828247
"93",-99.8171605492611,35.7943216953505
"94",-99.8171127283656,35.7944067703936
"95",-99.8170832204674,35.7944430347747
"96",-99.8170429422912,35.794508223415
"97",-99.8170036875471,35.794565290722
"98",-99.816921858202,35.7946794478541
"99",-99.8169639639037,35.7947927628646
"100",-99.8169346412556,35.7949552493996
"101",-99.8168933945634,35.7950339685083
"102",-99.8168535127419,35.7951379230187
"103",-99.8168408152542,35.7951948098355
"104",-99.8167345389652,35.7952992153662
"105",-99.8166385624124,35.7953287183749
"106",-99.8165347198599,35.7953465539801
"107",-99.8165059305198,35.7953449463044
"108",-99.8176876111184,35.7947833355791
"109",-99.8172062135662,35.7943502360597
"110",-99.8711125204341,35.7738644123575
"111",-99.8710334006905,35.7739136715829
"112",-99.8709595663674,35.7739403525988
"113",-99.8708633413547,35.7739428526457
"114",-99.870772559174,35.7739371988487
"115",-99.8707166608036,35.7739853881283
"116",-99.8706748194391,35.7740037229698
"117",-99.8703976762348,35.7737496761235
"118",-99.8703215016103,35.7737646529491
"119",-99.8702882647406,35.7737603855044
"120",-99.8702119820316,35.7737654454953
"121",-99.8172062135662,35.7943502360597
"122",-101.331987116678,32.2861684144688
"123",-101.334438325492,32.2861230975199
"124",-101.334417761228,32.2853208609994
"125",-101.336970949155,32.2859409529789
"126",-101.338513549231,32.2864805224915
"127",-101.338346243579,32.2857531518699
"128",-101.338955904918,32.2879963928428
"129",-101.327390687419,32.2895088275258
"130",-101.333135239214,32.2870580295418
"131",-101.33470039112,32.2864068310516
"132",-101.39060032545,33.4586101122819
"133",-101.39060032545,33.4586101122819
"134",-101.39060032545,33.4586101122819
"135",-101.39060032545,33.4586101122819
"136",-101.39060032545,33.4586101122819
"137",-101.39060032545,33.4586101122819
"138",-101.39060032545,33.4586101122819
"139",-101.39060032545,33.4586101122819
"140",-101.39060032545,33.4586101122819
"141",-101.073900253837,33.4352802291502
"142",-101.073900253837,33.4352802291502
"143",-101.073900253837,33.4352802291502
"144",-101.073900253837,33.4352802291502
