Plant #,Long,Lat
QH-E-2-15,-103.8647724,33.40796408
QH-E-2-16,-103.8646278,33.40784042
QH-E-2-17,-103.8642677,33.40778806
QH-E-2-18,-103.8636049,33.40778199
QH-E-2-19,-103.8632149,33.40777841
QH-E-2-20,-103.8629712,33.40777618
QH-E-2-21,-103.8628266,33.4076522
QH-E-2-22,-103.8620467,33.40764505
QH-E-2-23,-103.8620478,33.40756329
QH-E-2-24,-103.8618736,33.40770624
QH-E-2-25,-103.8670019,33.4070863
QH-E-3,-103.3443426,33.71194101
QH-E-3-1,-103.3634497,33.68658948
QH-E-3-2,-103.3633618,33.68658831
QH-E-3-3,-103.363264,33.68658702
QH-E-3-4,-103.3631662,33.68658572
QH-E-3-5,-103.3630684,33.68658443
QH-E-3-6,-103.3626773,33.68657924
QH-E-3-7,-103.362533,33.6864547
QH-E-3-8,-103.3624352,33.6864534
QH-E-3-9,-103.3622396,33.68645081
QH-E-3-10,-103.3621419,33.68644951
QH-E-3-11,-103.3618485,33.68644562
QH-E-3-12,-103.3612228,33.68643732
QH-E-3-13,-103.3627238,33.69389231
QH-E-3-14,-103.3615145,33.68428298
QH-E-3-15,-103.3615244,33.68415866
QH-E-3-16,-103.361526,33.68407662
QH-E-3-17,-103.3615278,33.68397925
QH-E-3-18,-103.3615302,33.68385664
QH-E-3-19,-103.3615333,33.68369255
QH-E-3-20,-103.3615345,33.68362764
QH-E-3-21,-103.3615395,33.68336619
QH-E-3-22,-103.3615423,33.68321833
QH-E-3-23,-103.3615474,33.68294876
QH-E-3-24,-103.36155,33.68280992
QH-E-3-25,-103.3615536,33.68262239
QH-E-3-26,-103.3614288,33.6826018
QH-E-3-27,-103.3614372,33.68216093
QH-E-3-28,-103.3614447,33.68176785
QH-E-4,-103.1834095,33.60870594
QH-E-4-1,-103.2362849,33.61064455
QH-E-4-2,-103.2364215,33.61076283
QH-E-4-3,-103.2364893,33.61082151
QH-E-4-4,-103.236645,33.6109563
QH-E-4-5,-103.2369511,33.61122127
