Plant #,Long,Lat
QH-W-11,-107.1716702,34.99828658
QH-W-11-1,-107.1716702,34.99828658
QH-W-11-2,-107.1716702,34.99828658
QH-W-11-3,-107.1716702,34.99828658
QH-W-11-4,-107.1716702,34.99828658
QH-W-11-5,-107.1716702,34.99828658
QH-W-11-6,-107.1716702,34.99828658
QH-W-11-7,-107.1716702,34.99828658
QH-W-11-8,-107.1716702,34.99828658
QH-W-11-9,-107.1716702,34.99828658
QH-W-11-10,-107.1716702,34.99828658
QH-W-11-11,-107.1716702,34.99828658
QH-W-11-12,-107.1716702,34.99828658
QH-W-11-13,-107.1716702,34.99828658
QH-W-11-14,-107.1716702,34.99828658
QH-W-11-15,-107.1716702,34.99828658
QH-W-11-16,-107.1716702,34.99828658
QH-W-11-17,-107.1716702,34.99828658
QH-W-11-18,-107.1716702,34.99828658
QH-W-11-19,-107.1716702,34.99828658
QH-W-11-20,-107.1716702,34.99828658
QH-W-12,-105.1060839,38.50230929
QH-W-12-1,-105.1060839,38.50230929
QH-W-12-2,-105.1060839,38.50230929
QH-W-12-3,-105.1060839,38.50230929
QH-W-12-4,-105.1060839,38.50230929
QH-W-12-5,-105.1060839,38.50230929
QH-W-12-6,-105.1060839,38.50230929
QH-W-12-7,-105.1060839,38.50230929
QH-W-12-8,-105.1060839,38.50230929
QH-W-12-9,-105.1060839,38.50230929
QH-W-12-10,-105.1060839,38.50230929
QH-W-12-11,-105.1060839,38.50230929
QH-W-12-12,-105.1060839,38.50230929
QH-W-12-13,-105.1060839,38.50230929
QH-W-12-14,-105.1060839,38.50230929
QH-W-12-15,-105.1060839,38.50230929
QH-W-12-16,-105.1060839,38.50230929
QH-W-12-17,-105.1060839,38.50230929
QH-W-12-18,-105.1060839,38.50230929
QH-W-12-19,-105.1060839,38.50230929
QH-W-12-20,-105.1060839,38.50230929
